checkpoint_step,proposal_seed,method,view,state_id,candidate_count,direct_selection_eligible,anchor_teacher,anchor_student,oracle_index,selected_index,oracle_lift,selected_lift,predicted_lift,selector_capture_raw,selector_capture_display,qw_qa_exploitation_gap,teacher_twin_directional_agreement,teacher_twin_pair_count,teacher_twin_disagreement_median,selected_twin_disagreement,oracle_twin_disagreement,random_candidate_twin_disagreement,qw_pairwise_accuracy,qw_pair_count,qw_spearman,qw_top1_agreement,latent_pairwise_rms,decoded_action_pairwise_rms,tanh_saturation_fraction,tanh_saturation_applicable,tanh_generated_candidate_fraction,scaled_boundary_or_outside_fraction,out_of_envelope_fraction,finite,model_family,teacher_kind
200000,1101,actor_local,fixed_state_mirror,0,1,1,1424.2618408203125,1419.7420654296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,15.7313232421875,15.7313232421875,15.7313232421875,15.7313232421875,1.0,0,1.0,1.0,0.0,0.0,0.125,1,1.0,0.125,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,1,1,1,1734.462158203125,1741.6109619140625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6.364013671875,6.364013671875,6.364013671875,6.364013671875,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,1,1.0,0.08333333333333333,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,2,1,1,100.20008087158203,113.49263000488281,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7.83355712890625,7.83355712890625,7.83355712890625,7.83355712890625,1.0,0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,3,1,1,1605.04248046875,1605.4998779296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.355712890625,0.355712890625,0.355712890625,0.355712890625,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,4,1,1,1445.7918701171875,1426.8839111328125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.8935546875,3.8935546875,3.8935546875,3.8935546875,1.0,0,1.0,1.0,0.0,0.0,0.2916666666666667,1,1.0,0.2916666666666667,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,5,1,1,1530.068603515625,1526.2249755859375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2.3243408203125,2.3243408203125,2.3243408203125,2.3243408203125,1.0,0,1.0,1.0,0.0,0.0,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,6,1,1,899.4703979492188,900.4203491210938,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10.91741943359375,10.91741943359375,10.91741943359375,10.91741943359375,1.0,0,1.0,1.0,0.0,0.0,0.4166666666666667,1,1.0,0.4166666666666667,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,7,1,1,33.035823822021484,38.225345611572266,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7.9796295166015625,7.9796295166015625,7.9796295166015625,7.9796295166015625,1.0,0,1.0,1.0,0.0,0.0,0.08333333333333333,1,1.0,0.08333333333333333,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,0,4,1,1424.2618408203125,1419.7420654296875,0,2,0.0,-2.08837890625,2.771240234375,0.0,0.0,4.859619140625,0.8333333333333334,6,14.80584716796875,15.7008056640625,15.7313232421875,14.462188720703125,0.3333333333333333,6,-0.6,0.0,1.6827481651453422,0.410996181343761,0.23958333333333334,1,1.0,0.23958333333333334,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,1,4,1,1734.462158203125,1741.6109619140625,2,2,2.7698974609375,2.7698974609375,1.6025390625,1.0,1.0,-1.1673583984375,0.8333333333333334,6,6.06488037109375,5.090576171875,5.090576171875,5.91009521484375,1.0,6,1.0,1.0,3.1656509751862356,0.6154497906225749,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,2,4,1,100.20008087158203,113.49263000488281,2,3,9.505302429199219,6.635353088378906,1.4657363891601562,0.6980685925358723,0.6980685925358723,-5.16961669921875,0.8333333333333334,6,3.997722625732422,1.124542236328125,3.9004058837890625,4.238386154174805,0.5,6,0.0,0.0,3.03536067423547,0.8054797338320692,0.010416666666666666,1,1.0,0.010416666666666666,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,3,4,1,1605.04248046875,1605.4998779296875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,6,1.33148193359375,0.355712890625,0.355712890625,2.38067626953125,0.8333333333333334,6,0.8,1.0,2.5865524917371823,0.8726684502267936,0.041666666666666664,1,1.0,0.041666666666666664,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,4,4,1,1445.7918701171875,1426.8839111328125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4.38836669921875,3.8935546875,3.8935546875,4.15045166015625,0.6666666666666666,6,0.4,1.0,2.388230648726463,0.7263054203002325,0.22916666666666666,1,1.0,0.22916666666666666,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,5,4,1,1530.068603515625,1526.2249755859375,0,1,0.0,-0.7122802734375,0.2982177734375,0.0,0.0,1.010498046875,0.6666666666666666,6,1.90594482421875,1.3780517578125,2.3243408203125,2.065704345703125,0.3333333333333333,6,-0.6,0.0,2.5491587841977976,0.49004097155733395,0.0625,1,1.0,0.0625,0.0,1,matched_dsrl_na,native_online_qa
200000,1101,actor_local,fixed_state_mirror,6,4,1,899.4703979492188,900.4203491210938,2,2,2.1229248046875,2.1229248046875,7.065673828125,1.0,1.0,4.9427490234375,0.5,6,8.43560791015625,5.66534423828125,5.66534423828125,8.363494873046875,1.0,6,1.0,1.0,2.0748965099719947,0.3422439188484323,0.34375,1,1.0,0.34375,0.0,1,matched_dsrl_na,native_online_qa
