checkpoint_step,method,teacher_kind,candidate_count,state_count,proposal_seed_count,oracle_lift_mean,oracle_lift_median,oracle_lift_ci95_low,oracle_lift_ci95_high,selected_lift_mean,selected_lift_median,selected_lift_ci95_low,selected_lift_ci95_high,selector_capture_raw_mean,selector_capture_raw_median,selector_capture_raw_ci95_low,selector_capture_raw_ci95_high,qw_qa_exploitation_gap_mean,qw_qa_exploitation_gap_median,qw_qa_exploitation_gap_ci95_low,qw_qa_exploitation_gap_ci95_high,qw_pairwise_accuracy_mean,qw_pairwise_accuracy_median,qw_pairwise_accuracy_ci95_low,qw_pairwise_accuracy_ci95_high,qw_spearman_mean,qw_spearman_median,qw_spearman_ci95_low,qw_spearman_ci95_high,qw_top1_agreement_mean,qw_top1_agreement_median,qw_top1_agreement_ci95_low,qw_top1_agreement_ci95_high,teacher_twin_disagreement_median_mean,teacher_twin_disagreement_median_median,teacher_twin_disagreement_median_ci95_low,teacher_twin_disagreement_median_ci95_high
200000,actor_local,native_online_qa,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.924943923950195,7.098785400390625,3.9723608970642093,10.013845968246459
200000,actor_local,native_online_qa,4,8,1,2.522604465484619,1.06146240234375,0.530731201171875,4.979801654815674,1.8137784004211426,1.06146240234375,-0.14943437576293944,3.9339351654052734,0.462258574066984,0.34903429626793614,0.125,0.799517148133968,0.02000284194946289,0.0,-2.273688542842865,2.420634269714355,0.6875,0.75,0.5,0.8541666666666667,0.35000000000000003,0.6000000000000001,-0.12499999999999997,0.75,0.625,1.0,0.25,0.875,5.9632744789123535,5.22662353515625,3.4627170324325562,8.949755191802979
200000,actor_local,native_online_qa,16,8,1,3.3326854705810547,2.097869873046875,0.9454727172851562,6.135408091545099,2.5528926849365234,1.20318603515625,-0.06361503601074217,5.795036339759826,0.4731428162157044,0.4252094632450165,0.1915009339325278,0.7651715478390011,-0.13504743576049805,1.04547119140625,-3.559592342376709,2.7216640472412066,0.6479166666666667,0.6375,0.5958333333333333,0.6927083333333334,0.41139705882352945,0.40147058823529413,0.28088235294117647,0.5264797794117647,0.25,0.0,0.0,0.625,6.175213098526001,5.055816650390625,3.5508238673210144,9.346141356229781
200000,actor_local,native_online_qa,64,8,1,4.600712776184082,2.533050537109375,1.9344900846481323,7.734370875358581,1.7694177627563477,0.83660888671875,-0.1936187744140625,4.539546394348143,-0.151471698182672,0.2796230884600563,-0.8073731653575551,0.38319729622638865,1.037571907043457,1.69268798828125,-2.139149713516235,3.3292348861694325,0.6176570685139233,0.6081349206349207,0.5745841233838966,0.6619072005223718,0.3397124344257467,0.3223112761645253,0.21671966723093872,0.4659684065934066,0.0,0.0,0.0,0.0,6.262882590293884,5.24859619140625,3.565001609921455,9.520990481972692
200000,actor_local,target_qa,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1826653480529785,2.346506118774414,1.8886910796165466,4.755619812011718
200000,actor_local,target_qa,4,8,1,2.3773393630981445,0.72705078125,0.364349365234375,4.868108463287348,0.9967527389526367,0.0,-1.1014101266860963,3.0952203273773176,0.32993460389641727,0.0,0.0799346038964173,0.625,0.8370285034179688,0.0,-1.8347437381744385,4.0338134765625,0.5833333333333334,0.5833333333333333,0.41666666666666663,0.75,0.2,0.30000000000000004,-0.22499999999999998,0.575,0.375,0.0,0.125,0.75,2.694464683532715,1.8335742950439453,1.7297391891479492,3.804499924182892
200000,actor_local,target_qa,16,8,1,2.956517219543457,1.87139892578125,0.945463752746582,5.486110687255859,1.5882787704467773,-0.09527587890625,-0.5859799861907958,4.472939491271973,-0.3752538226875754,0.12792682276388073,-1.7992266042867362,0.5334482347843074,0.829566478729248,1.02081298828125,-2.3312195777893066,4.013562119007108,0.5968749999999999,0.6041666666666666,0.515625,0.6666666666666666,0.2709558823529412,0.3161764705882353,0.06130514705882355,0.44782169117647047,0.125,0.0,0.0,0.375,3.020573854446411,2.934760093688965,2.0933657348155976,4.034887534379957
200000,actor_local,target_qa,64,8,1,4.499901294708252,2.38299560546875,2.032371425628662,7.469858646392821,1.3083887100219727,0.70489501953125,-1.0270790100097655,4.31660747528076,-0.2291371220960595,0.1899198712699752,-0.8553994570958733,0.3573114481977835,1.498600959777832,1.1957588195800781,-1.9332729339599608,4.6791704177856435,0.5768229166666667,0.5900297619047619,0.4936693948412698,0.6366675967261904,0.22193795787545784,0.2619276556776557,-0.01442465086996337,0.3925111607142855,0.0,0.0,0.0,0.0,3.133260726928711,2.656280517578125,2.0989813446998595,4.291703701019287
200000,gaussian_native,native_online_qa,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.777501583099365,7.35693359375,5.587048411369324,10.085672283172606
200000,gaussian_native,native_online_qa,4,8,1,14.680022239685059,12.971038818359375,9.881831002235412,19.81350574493408,8.501768112182617,7.905902862548828,1.4109000444412232,14.261823725700378,0.5372769868191339,0.8886387971032847,-0.014102042648726845,0.9195948607557665,1.3785600662231445,-3.8753662109375,-5.583850359916687,10.09010119438171,0.75,0.8333333333333334,0.6458333333333333,0.8541666666666667,0.55,0.8,0.25000000000000006,0.8,0.5,0.5,0.125,0.875,6.491233825683594,6.6148681640625,4.848966026306153,8.188366127014158
