checkpoint_step,method,teacher_kind,candidate_count,state_count,proposal_seed_count,oracle_lift_mean,oracle_lift_median,oracle_lift_ci95_low,oracle_lift_ci95_high,selected_lift_mean,selected_lift_median,selected_lift_ci95_low,selected_lift_ci95_high,selector_capture_raw_mean,selector_capture_raw_median,selector_capture_raw_ci95_low,selector_capture_raw_ci95_high,qw_qa_exploitation_gap_mean,qw_qa_exploitation_gap_median,qw_qa_exploitation_gap_ci95_low,qw_qa_exploitation_gap_ci95_high,qw_pairwise_accuracy_mean,qw_pairwise_accuracy_median,qw_pairwise_accuracy_ci95_low,qw_pairwise_accuracy_ci95_high,qw_spearman_mean,qw_spearman_median,qw_spearman_ci95_low,qw_spearman_ci95_high,qw_top1_agreement_mean,qw_top1_agreement_median,qw_top1_agreement_ci95_low,qw_top1_agreement_ci95_high,teacher_twin_disagreement_median_mean,teacher_twin_disagreement_median_median,teacher_twin_disagreement_median_ci95_low,teacher_twin_disagreement_median_ci95_high
100000,actor_local,native_online_qa,1,512,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.278060396434739,3.1798858642578125,6.086172960820841,8.75644006965449
100000,actor_local,native_online_qa,4,512,4,2.591710707405582,1.630157470703125,2.2924209780816454,2.9256334967387367,0.3583033992908895,0.1544036865234375,0.11326842234702782,0.6126662967377342,-0.45372139295283626,0.185141967332531,-0.8355815931543424,-0.16759730638803697,1.1379339364357293,0.8707656860351562,0.8802144712186418,1.4100123382988385,0.53203125,0.5416666666666666,0.51953125,0.544158935546875,0.0763262830888754,0.1,0.04752168508071839,0.10409733651926646,0.279296875,0.25,0.2587890625,0.298828125,7.163174013607204,3.0546188354492188,5.841724038549001,8.579586506972555
100000,actor_local,native_online_qa,16,512,4,4.432879468193278,2.75140380859375,3.9499842487217394,4.9962617137294725,0.5513966504950076,0.2429962158203125,0.25245229895808735,0.8652515184599903,-0.5792977359907967,-0.04788272404161138,-0.8095982365308684,-0.38565616900430505,1.8789983072783798,1.5123443603515625,1.5684341126529033,2.210058375896187,0.5227222431941526,0.525,0.5152399570668111,0.5298564836090686,0.062336957680085625,0.06470588235294118,0.041551917696710405,0.08176776002551943,0.08251953125,0.0,0.0703125,0.09571533203124993,7.049896837677807,2.8875350952148438,5.760957335983403,8.497826702089514
100000,actor_local,native_online_qa,64,512,4,5.674591455375776,3.568572998046875,5.086256589199183,6.330594901571748,0.7266439453233033,0.259979248046875,0.4153800339787267,1.0892038955353198,-0.49315422039886747,-0.036699529636357836,-0.8660311794100641,-0.23015682091032869,2.4287661442067474,2.01434326171875,2.103626573039219,2.7736794453230686,0.524745656118522,0.5307617264466197,0.5181224068554866,0.5311703657406904,0.07195613640410103,0.0884191569831106,0.052955117612160166,0.09042303046378515,0.02734375,0.0,0.02001953125,0.03515625,7.0889766324544325,2.9506301879882812,5.8372938067041105,8.438868378629556
100000,actor_local,target_qa,1,512,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.491934297606349,2.7790069580078125,5.443366457941011,7.777753823739476
100000,actor_local,target_qa,4,512,4,2.454216344282031,1.527740478515625,2.1794242581818253,2.7524974761996415,0.34152098931372166,0.1131744384765625,0.10191932902671397,0.5989527615718541,-0.6479726535328966,0.1592166581750702,-1.0616235522238537,-0.2942385095317409,1.154716346412897,0.8789215087890625,0.8965439624618738,1.4278944628313177,0.5289876302083333,0.5416666666666666,0.5161604817708333,0.5417329915364584,0.07203997304070929,0.1,0.04225854840875642,0.10173182760561757,0.28125,0.25,0.25927734375,0.3017578125,6.308954483130947,2.8156280517578125,5.145314754673746,7.510325386823387
100000,actor_local,target_qa,16,512,4,4.126628195866942,2.5779285430908203,3.719086749618873,4.556403355486691,0.5246271714568138,0.2517242431640625,0.2411945699946955,0.7997849280480295,-0.6517685743176629,0.0008356740584149463,-1.015552767612546,-0.36566187078810747,1.9057677863165736,1.514801025390625,1.6116905394243077,2.2350941321114077,0.5240340374431023,0.525,0.5165936287845216,0.5314277781425071,0.0672660516608394,0.07573529411764707,0.04664929076618202,0.08738706662626687,0.08740234375,0.0,0.07470703125,0.10059814453124993,6.23608269658871,2.582794189453125,5.1456437134940645,7.516081231401767
100000,actor_local,target_qa,64,512,4,5.315018007531762,3.367706298828125,4.811492247320712,5.820083953416907,0.686674484051764,0.31317138671875,0.40700739414896814,0.9883906094590199,-0.34065544334052633,-0.04261574553293797,-0.46864508484093514,-0.22812810825976104,2.4687356054782867,1.924774169921875,2.1488283798331396,2.818859234638512,0.5276415719949038,0.5297935067844342,0.5212073293972366,0.5342268762234541,0.08054798627414114,0.08955201278229821,0.062102714242687526,0.0991167629706956,0.02197265625,0.0,0.015625,0.02880859375,6.259061231976375,2.6101531982421875,5.125909102649894,7.443618066894123
100000,gaussian_native,native_online_qa,1,512,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.492232179502025,3.9443206787109375,7.918280966038583,11.16612061901833
100000,gaussian_native,native_online_qa,4,512,4,10.162070012418553,3.461181640625,8.087080225831595,12.501968788233352,4.093420990742743,0.5877227783203125,2.670138850295916,5.731899581849574,-0.3621273910450594,0.25,-0.7114123956814707,-0.07835940858660354,4.290455533191562,2.3478240966796875,3.024450450949371,5.617858627741225,0.5675455729166667,0.5833333333333333,0.5558268229166666,0.5790201822916667,0.16318359375000002,0.15000000000000002,0.1363232421875,0.18984619140625003,0.3291015625,0.25,0.3076171875,0.3505859375,8.683160895481706,3.7201309204101562,7.343886315607233,10.160567326666204
