checkpoint_step,method,view,candidate_count,state_count,proposal_seed_count,direct_selection_eligible,oracle_lift_mean,oracle_lift_median,selected_lift_mean,selected_lift_median,predicted_lift_mean,predicted_lift_median,selector_capture_raw_mean,selector_capture_raw_median,selector_capture_display_mean,selector_capture_display_median,qw_qa_exploitation_gap_mean,qw_qa_exploitation_gap_median,teacher_twin_directional_agreement_mean,teacher_twin_directional_agreement_median,teacher_twin_disagreement_median_mean,teacher_twin_disagreement_median_median,selected_twin_disagreement_mean,selected_twin_disagreement_median,oracle_twin_disagreement_mean,oracle_twin_disagreement_median,random_candidate_twin_disagreement_mean,random_candidate_twin_disagreement_median,qw_pairwise_accuracy_mean,qw_pairwise_accuracy_median,qw_spearman_mean,qw_spearman_median,qw_top1_agreement_mean,qw_top1_agreement_median,latent_pairwise_rms_mean,latent_pairwise_rms_median,decoded_action_pairwise_rms_mean,decoded_action_pairwise_rms_median,tanh_saturation_fraction_mean,tanh_saturation_fraction_median,tanh_saturation_applicable_mean,tanh_saturation_applicable_median,tanh_generated_candidate_fraction_mean,tanh_generated_candidate_fraction_median,scaled_boundary_or_outside_fraction_mean,scaled_boundary_or_outside_fraction_median,out_of_envelope_fraction_mean,out_of_envelope_fraction_median,oracle_lift_ci95_low,oracle_lift_ci95_high,selected_lift_ci95_low,selected_lift_ci95_high,selected_vs_random_twin_disagreement_ratio,oracle_lift_to_twin_disagreement_ratio
100000,g_current,augmentation,1,512,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.823845740407705,3.3719635009765625,7.823845740407705,3.3719635009765625,7.823845740407705,3.3719635009765625,7.823845740407705,3.3719635009765625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03857421875,0.010416666666666666,1.0,1.0,1.0,1.0,0.03857421875,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100000,g_current,augmentation,2,512,4,1,1.4306674785912037,0.86224365234375,0.17090872395783663,0.0388641357421875,1.4299028073437512,1.062042236328125,0.2607421875,0.25,0.2607421875,0.25,1.2589940833859146,0.8931007385253906,0.63330078125,0.75,7.842310187406838,3.4377822875976562,7.854205628857017,3.366180419921875,7.186885185539722,2.766082763671875,7.842310187406838,3.4377822875976562,0.53955078125,0.5,0.0791015625,0.0,0.53955078125,0.5,2.022451288932765,2.0702764998280534,0.4476927692013162,0.4151242474803305,0.03871663411458333,0.015625,1.0,1.0,1.0,1.0,0.03871663411458333,0.015625,0.0,0.0,1.2753047538455575,1.5941940805409103,0.02963628980796784,0.3156177652301265,0.9791720761567432,0.2508139201992024
100000,g_current,augmentation,4,512,4,1,2.5060808351263404,1.593475341796875,0.27589429914951324,0.1615142822265625,2.57425689464435,2.006039619445801,-0.302177366635399,0.14461705152738202,0.3104216234749523,0.25,2.2983625954948366,1.8171234130859375,0.6322102864583332,0.6666666666666666,7.716758273541927,3.2286834716796875,7.788858700543642,3.3553924560546875,6.742770465090871,2.45867919921875,7.808141693472862,3.3410720825195312,0.5365559895833334,0.5416666666666666,0.08797243382224919,0.050000000000000024,0.28173828125,0.25,2.0326091729365743,2.098282155936598,0.45256573076896234,0.4297932099069559,0.03936258951822917,0.013020833333333332,1.0,1.0,1.0,1.0,0.03936258951822917,0.013020833333333332,0.0,0.0,2.2814303561113776,2.7247523345286027,0.09687327747233213,0.44405543734319497,1.0042861612025913,0.49353718188047924
100000,g_current,augmentation,8,512,4,1,3.4751327419653535,2.2873687744140625,0.3285956773906946,0.2181549072265625,3.445207758806646,2.65643310546875,-3.955344374467635,0.01244563356412276,0.2949983764579386,0.2717754887415488,3.1166120814159513,2.51068115234375,0.6321963355654762,0.6473214285714286,7.6935330191627145,3.2333526611328125,7.8211736138910055,3.3551788330078125,6.253253303468227,2.0199127197265625,7.8103738182689995,3.327455520629883,0.5313804666832012,0.5357142857142857,0.08365265725760278,0.09523809523809523,0.146484375,0.0,2.0374310531216473,2.1006901999288656,0.45558367147297885,0.4341075500634333,0.039693196614583336,0.014322916666666664,1.0,1.0,1.0,1.0,0.039693196614583336,0.014322916666666664,0.0,0.0,3.1855180902406572,3.7734444595174863,0.1462603948544711,0.5033210604218766,1.0083316853391573,0.7074294127918226
100000,g_current,augmentation,16,512,4,1,4.233550872653723,2.80352783203125,0.41006701812148094,0.2159576416015625,4.144752732478082,3.2011871337890625,-2.6778926280323425,-0.06494911948418144,0.2698570584932991,0.25,3.7346857143566012,2.9318695068359375,0.6264843339679622,0.6329481792717087,7.655112182488665,3.2415542602539062,7.787238851189613,3.2631378173828125,5.897107084281743,1.7895660400390625,7.77420914103277,3.337512969970703,0.5301968443627452,0.5375,0.08493597293315815,0.10110294117647059,0.06494140625,0.0,2.0379291260529984,2.097388038110508,0.4565609534075249,0.43402381646731075,0.0398101806640625,0.013020833333333334,1.0,1.0,1.0,1.0,0.0398101806640625,0.013020833333333334,0.0,0.0,3.8940551705192776,4.619192020595073,0.2310613011242822,0.588889117608778,0.9777153966869697,0.8648714804519896
100000,g_current,augmentation,32,512,4,1,4.9014069540426135,3.3397216796875,0.4326726249419153,0.1980133056640625,4.717749748378992,3.659759521484375,-1.3143996103775981,-0.0807420203040018,0.24675391961890653,0.22228103932416826,4.285077123437077,3.3291015625,0.6260855135426128,0.6325604838709677,7.656218783929944,3.2424678802490234,7.8359067919664085,3.4159088134765625,5.599326583556831,1.6051435470581055,7.773183473793324,3.3675169944763184,0.5303071291449017,0.5318675667970023,0.0874778634999574,0.09553702346041056,0.04248046875,0.0,2.0384935396560033,2.113302569496251,0.4564929171166422,0.4352130659495277,0.039689381917317704,0.012858072916666668,1.0,1.0,1.0,1.0,0.039689381917317704,0.012858072916666668,0.0,0.0,4.497440504282713,5.307548016123474,0.18525666864588858,0.6991034053848122,1.0143701781103467,1.0299937587758023
100000,g_current,augmentation,64,512,4,1,5.557924207299948,3.7450332641601562,0.4836915987543762,0.2576141357421875,5.1774755557999015,4.006317138671875,-1.0839916097756581,-0.07100154365163087,0.2335348932117941,0.22174647455183555,4.693783957045525,3.68829345703125,0.6271062057487042,0.6383308531746033,7.648987463675439,3.2795486450195312,7.812661088537425,3.3852996826171875,5.389078781940043,1.4693450927734375,7.767316574099823,3.3807902336120605,0.5299981807860987,0.5305059523809523,0.08713322513896227,0.09087125547124969,0.01611328125,0.0,2.038345856458463,2.1066579651938655,0.4569027645471267,0.4327555841942381,0.03966712951660156,0.0126953125,1.0,1.0,1.0,1.0,0.03966712951660156,0.0126953125,0.0,0.0,5.088786420226097,6.069173825392499,0.23865103957941755,0.7565404227469116,1.00133384466161,1.1419355739234212
100000,g_mix,augmentation,1,512,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.823845740407705,3.3719635009765625,7.823845740407705,3.3719635009765625,7.823845740407705,3.3719635009765625,7.823845740407705,3.3719635009765625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03857421875,0.010416666666666666,1.0,1.0,1.0,1.0,0.03857421875,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100000,g_mix,augmentation,2,512,4,1,1.7982961386442184,0.158172607421875,0.00270751491189003,0.0,0.009540542960166931,0.0,0.005859375,0.0,0.005859375,0.0,0.006833028048276901,0.0,0.69775390625,0.75,8.547724226489663,4.331550598144531,7.809826519340277,3.366180419921875,7.155692662112415,3.1195249557495117,8.547724226489663,4.331550598144531,0.728515625,0.75,0.45703125,0.5,0.728515625,0.75,4.370122472177014,4.325463452627871,1.0199556511322951,0.927910517993133,0.029591878255208332,0.020833333333333332,1.0,1.0,1.0,1.0,0.029591878255208332,0.020833333333333332,0.0,0.0,1.2419873191043735,2.5122300678398455,-0.011306095775216818,0.01825401932001113,0.7771305779883575,0.036516393803556174
100000,g_mix,augmentation,4,512,4,1,3.493097028695047,1.313568115234375,0.17017725203186274,0.0435638427734375,1.4320008610375226,1.0671234130859375,-0.3694347996478626,0.22398795151138978,0.2158631892940548,0.25,1.2618236090056598,0.8931007385253906,0.6881347656250001,0.7083333333333334,8.110188698628917,3.867034912109375,7.852280063554645,3.366180419921875,6.7346984120085835,2.64752197265625,8.564371079322882,4.270458221435547,0.6778157552083334,0.7083333333333334,0.41806640625,0.55,0.37841796875,0.25,3.929732199149557,3.8855810098170203,0.9182246301056913,0.8531882606891414,0.0297393798828125,0.018229166666666664,1.0,1.0,1.0,1.0,0.0297393798828125,0.018229166666666664,0.0,0.0,2.743542904313654,4.37777027641423,0.03170733326114714,0.3194073907565325,0.7882480627079658,0.33968354180641597
100000,g_mix,augmentation,8,512,4,1,5.126877319067717,2.185333251953125,0.2740780860185623,0.1638336181640625,2.575577852781862,2.006039619445801,-0.649974208735242,0.05353350375028565,0.2609046060779582,0.25,2.3014997667632997,1.8171234130859375,0.6858039331183863,0.6964285714285714,7.7998319352045655,3.7053451538085938,7.7900458462536335,3.34918212890625,6.318705979734659,2.40325927734375,8.382363323005848,4.154592514038086,0.6571083674355158,0.6875,0.4049323284108792,0.5178571428571428,0.193359375,0.25,3.9004111866929536,3.871845520222239,0.9091512201054537,0.8547934069276015,0.030339558919270836,0.018229166666666664,1.0,1.0,1.0,1.0,0.030339558919270836,0.018229166666666664,0.0,0.0,4.128086670162157,6.344728505751117,0.10836693611927331,0.439607311761938,0.8061397399599578,0.5897785931512745
100000,g_mix,augmentation,16,512,4,1,6.8716630432754755,2.7537841796875,0.3285956773906946,0.2181549072265625,3.445207758806646,2.65643310546875,-2.721457362928955,-0.0185108505003604,0.24796614928151967,0.23707536386045186,3.1166120814159513,2.51068115234375,0.6812348181460084,0.69375,7.768658356042579,3.6908493041992188,7.8211736138910055,3.3551788330078125,5.800187771208584,2.027679443359375,8.40338240325218,4.198918342590332,0.6458031747855392,0.6781250000000001,0.3954404236829736,0.5022058823529412,0.0966796875,0.0,3.916129052480074,3.9147382065393352,0.9116134399657534,0.8615206182502795,0.030553181966145832,0.018229166666666664,1.0,1.0,1.0,1.0,0.030553181966145832,0.018229166666666664,0.0,0.0,5.637571376468986,8.23502622200176,0.14275956850033253,0.5084903493989259,0.7990578904513745,0.7461112477701042
